Railroad,Region,Bridge Prefix,Number Divider,Format Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago & North Western,Galena-Cuba City,Bridge , ,C&NW bridges are named with as ''Bridge [Number] [Suffix]'' where the number is assigned incrementally along the trackage.  Numbers are initially assigned integers with spurs being given a letter suffix appended to the number of the next-lowest bridge number before the junction.  Bridges added after the initial assignment are given a fractional suffix denoting their placement between two bridges.  An example is Bridge 1450 1/2 being added between Bridge 1450 and Bridge 1451.  Further additions work by placing another fraction halfway between the relevant bridge numbers (such as 1450 3/4 between 1450 1/2 and 1451).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal,,,Original,(shared),,,(culvert),(bridge),,,,,,,,,,(universal),,,First Rebuild,,,,,,,,,,,,,,,,,,Further Rebuilds continue cycle,,,,,,,,,,,,,,,,,
Number,Lat,Long,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date,Basic Type,Spec. Type,Length,Height,Width/Dia,Spans,Approach,LA Type,LA Length,LA Height,LA Spans,HA Type,HA Length,HA Height,HA Spans,Built,Fate,Fate Date
Bridge 1426,42.599641,-90.4159,B,P.B.,51.8,-1,,4,N,,,,,,,,,pre-1917,Rebuilt,1920,B,P.B.,65,-1,,5,N,,,,,,,,,1920,Rebuilt,2-1950,B,P.B.,51.8,-1,,5,N,,,,,,,,,2-1950,Abandoned,1968
Bridge 1427,42.59848,-90.41442,C,S.B.,49,4,4.5,,,,,,,,,,,pre-1917,Rebuilt,Unknown,C,S.B.,37,5,4.5,,,,,,,,,,,Unknown,Abandoned,1968,,,,,,,,,,,,,,,,,,
Bridge 1428,42.59697,-90.4131,C,S.B.,49,4,5,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1429,42.59527,-90.41165,C,Conc. P.,24,2,2.333333333,,,,,,,,,,,pre-1917,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge 1429 1/4,42.59478,-90.41134,C,C.I.P.,24,2,2,,,,,,,,,,,pre-1917,Rebuilt,5-16-1918,C,V.S.P.,30,2,2,,,,,,,,,,,5/16/1918,Removed,1968,,,,,,,,,,,,,,,,,,
Bridge 1429 1/2,42.59464,-90.41125,C,W.B.C.,32,2.666666667,2.6666667,,,,,,,,,,,pre-1917,Rebuilt,6-1926,C,Conc. P.,32,2,2,,,,,,,,,,,6-1926,Removed,1968,,,,,,,,,,,,,,,,,,
Bridge 1430 A,42.5942,-90.41039,C,W.B.C.,26,3.5,4,,,,,,,,,,,pre-1917,Rebuilt,10-1924,C,Conc. P.,48,2,2,,,,,,,,,,,10-1924,Removed,1968,,,,,,,,,,,,,,,,,,
Bridge 1430,42.59406,-90.41087,B,P.B.,39.1,-1,,3,N,,,,,,,,,pre-1917,Rebuilt,8-1927,C,Conc. Pipe,48,3,3,,,,,,,,,,,8-1927,Removed,1968,,,,,,,,,,,,,,,,,,
Bridge 1431,42.59062,-90.40855,B,P.B.,45.9,-1,,3,N,,,,,,,,,pre-1917,Rebuilt,10-23-1930,B,P.B.,53,-1,,4,N,,,,,,,,,10-23-1930,Removed,1968,,,,,,,,,,,,,,,,,,
Bridge 1431 1/2,42.58852,-90.40709,B,Str. Br.,16.5,-1,,1,N,,,,,,,,,11-23-1933,Rebuilt,6-19-1940,B,P.B.,27,-1,,2,N,,,,,,,,,6-19-1940,Removed,1968,,,,,,,,,,,,,,,,,,
